,Baseline,Baseline,KNN Regressor,KNN Regressor,Ridge,Ridge,Random Forest Regressor,Random Forest Regressor,Lasso,Lasso
,mean,std,mean,std,mean,std,mean,std,mean,std
fit_time,1.651,0.061,1.786,0.139,2.314,0.254,389.954,9.31,15.072,0.792
score_time,0.448,0.041,2.273,0.129,0.555,0.054,0.661,0.039,0.517,0.049
test_neg_mean_absolute_percentage_error,-23.073,36.162,-24.616,37.464,-22.684,37.116,-22.254,32.685,-22.502,36.674
train_neg_mean_absolute_percentage_error,-23.044,9.016,-16.648,5.903,-23.215,9.459,-7.0,2.404,-23.162,9.412
test_r2,-0.001,0.001,0.154,0.023,0.315,0.019,0.326,0.019,0.313,0.021
train_r2,0.0,0.0,0.436,0.01,0.377,0.004,0.906,0.001,0.377,0.004
